record_id	source_record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
V2-P059	G059	10.1007/s40273-025-01550-8	corpus/1711-RA/doi_10.1007_s40273-025-01550-8.md	7e7d228cbf926fd058f42de14bfa6bb3c6ce8e9d347ce53de6a3941b5e947ba0	111094	input/projects/1711-RA/papers/doi_10.1007_s40273-025-01550-8.xml	0fca0fc65d5aae9ed9ab59a4634579bfecdaf7b569fe0b4e4809913dda2eded5	184334	frozen 209-paper JATS corpus
V2-P060	G060	10.1136/bmjopen-2023-077256	corpus/304-PHD/doi_10.1136_bmjopen-2023-077256.md	cec51b4b9a428e0f544c14391873d8e6205951570ac55ebcf88f886f2563cb36	39142	input/projects/304-PHD/papers/doi_10.1136_bmjopen-2023-077256.xml	bdf0ee6cff8e5fdcab70ea6a6166873e62ba67ffc8df94e41175558aa450bd92	73230	frozen 209-paper JATS corpus
V2-P061	G061	10.1136/bmjopen-2023-080985	corpus/430-RA/doi_10.1136_bmjopen-2023-080985.md	9da33a2c9d5182904310ba8421187b04b9ca00a6cc6609d3e9a6208e0df43d31	48266	input/projects/430-RA/papers/doi_10.1136_bmjopen-2023-080985.xml	19c4a892aff6046e1261bb7d07a7b2f32c1362cdd5970da6d4f8ac7fb665148b	101631	frozen 209-paper JATS corpus
V2-P062	G062	10.1136/bmjopen-2025-100897	corpus/1850-RA/doi_10.1136_bmjopen-2025-100897.md	f83ed58dfff092519efdabb2f3834c61508af16a0b7b7a77e0ef08e51413eed1	42479	input/projects/1850-RA/papers/doi_10.1136_bmjopen-2025-100897.xml	8a5693ae4af751df9825b0ca1a5a50fefeafd569da1323793ac1c2949d1cd554	74758	frozen 209-paper JATS corpus
V2-P063	G063	10.1177/0272989x20969686	corpus/20170210/doi_10.1177_0272989x20969686.md	3ae3da8629d8b0716d2e0a96569796b3bf81b1eb5c5c13fe54038d2d46676d99	65568	input/projects/20170210/papers/doi_10.1177_0272989x20969686.xml	1ca4ad33d75839fc283c962dcfaec8ab22ba280d7bd021e690e4a318ba7d01c3	114266	frozen 209-paper JATS corpus
V2-P064	G064	10.1177/0272989x21999607	corpus/2016630/doi_10.1177_0272989x21999607.md	9ee05786bda8d047709bc7b040d12f9010e2f83d3c9f88e77a5b4400ba2e55aa	65644	input/projects/2016630/papers/doi_10.1177_0272989x21999607.xml	77c681afc831d47e80699f1d8c1b4f3c984101af91b0f6a974b8fc7e7bcf0aa7	136237	frozen 209-paper JATS corpus
V2-P065	G065	10.1186/s12955-020-01404-1	corpus/2016160/doi_10.1186_s12955-020-01404-1.md	e95e448f220b05571514ab297cb0c7046edde258265ef4bb7a98cea6863475c8	77418	input/projects/2016160/papers/doi_10.1186_s12955-020-01404-1.xml	fee6b3d20e6cbff9f8bb3f277f00b84d575b64c5314cb98eae15dad3a813e376	149052	frozen 209-paper JATS corpus
V2-P066	G066	10.1186/s12955-021-01719-7	corpus/2015200/doi_10.1186_s12955-021-01719-7.md	4c6b2739bc907147316f2fe0db47f10f23607ce62818c8a55f6d2eb25e0d3be8	87701	input/projects/2015200/papers/doi_10.1186_s12955-021-01719-7.xml	9646c84da3962cf7385fdf62185fc46bbd44fa22a7f35c95a7d73b3227c5dbf2	156264	frozen 209-paper JATS corpus
V2-P067	G067	10.1186/s12955-021-01858-x	corpus/2016560/doi_10.1186_s12955-021-01858-x.md	08519c1f5be91b597b47451f27a19129ea958d51efb1170f7d6f75e765d00bd0	74048	input/projects/2016560/papers/doi_10.1186_s12955-021-01858-x.xml	502f4ad0b74e38e9bed2b01e0763627773ce7de60b1ccc97ae57fa3c5a2061ab	120432	frozen 209-paper JATS corpus
V2-P068	G068	10.1186/s12955-021-01889-4	corpus/20180140/doi_10.1186_s12955-021-01889-4.md	79e8843b7da9d11963e6465e2931cf1f29ee6212992869587471b41ad81271ec	79549	input/projects/20180140/papers/doi_10.1186_s12955-021-01889-4.xml	391d5a4709420294b9327dd92a89a63bad287380e31d3ba17e15bc73b2c6859d	135369	frozen 209-paper JATS corpus
V2-P069	G069	10.1186/s12955-022-02083-w	corpus/20180770/doi_10.1186_s12955-022-02083-w.md	433c19b4233623ebee107171a139f4a803ed9ad41f54ad87c609cb809daf46ee	60251	input/projects/20180770/papers/doi_10.1186_s12955-022-02083-w.xml	1fc64e0aa34d1d6280420ab3849178eb96ee0de785143bd628a49832d375af77	117438	frozen 209-paper JATS corpus
V2-P070	G070	10.1186/s12955-024-02266-7	corpus/341-RA/doi_10.1186_s12955-024-02266-7.md	fc29e562638e700d12dcdb40596879f0dde16b982ea6e0f13fce2dc1d2d341ff	123881	input/projects/341-RA/papers/doi_10.1186_s12955-024-02266-7.xml	ec2dae9b852f0e2fd38c042c76d355207d7d9e0c9723e5d0d5640daee1b816f5	335889	frozen 209-paper JATS corpus
V2-P071	G071	10.1186/s12955-026-02478-z	corpus/1592-RA/doi_10.1186_s12955-026-02478-z.md	9b84ec7d957694e16c11b3fef240125edd1ba91c39748357b4e619d9ba85bac7	52777	input/projects/1592-RA/papers/doi_10.1186_s12955-026-02478-z.xml	55cdfe0b41935ecfec27c4f68d0a12376e71d6fc9839658541876e4f9c257c88	110466	frozen 209-paper JATS corpus
V2-P072	G072	10.1186/s12955-026-02521-z	corpus/1599-RA/doi_10.1186_s12955-026-02521-z.md	fe11c740a375b5f94ab2d8feb4f98d90e4e189546cd02cb2a19182ab627ad1b9	109181	input/projects/1599-RA/papers/doi_10.1186_s12955-026-02521-z.xml	c48debce3442c3ec97a59362172314c7e8f71c5abf4931323d256aece53c2300	165962	frozen 209-paper JATS corpus
V2-P073	G073	10.1186/s41687-020-00247-0	corpus/2015270/doi_10.1186_s41687-020-00247-0.md	7bfec7fa02d0ba808551e364d34f9dd66ad90c7e24f96aeffaad11f62b5accf2	52427	input/projects/2015270/papers/doi_10.1186_s41687-020-00247-0.xml	e9d46e5a7326c9bf795400f36dce13a2a766f1ff87227194cf2fd904c3e16fd1	88318	frozen 209-paper JATS corpus
V2-P074	G074	10.1371/journal.pone.0190111	corpus/2014150/doi_10.1371_journal.pone.0190111.md	182c324a2c4d3d2468b4262417fdb74d55fc9a9ffe465f0fc094070b9cf52df7	40553	input/projects/2014150/papers/doi_10.1371_journal.pone.0190111.xml	6af35e67e8c86f2542f745dcd9c853172fe851f3af1f427872be9878f4373d9c	84718	frozen 209-paper JATS corpus
V2-P075	G075	10.1371/journal.pone.0209344	corpus/2016440/doi_10.1371_journal.pone.0209344.md	e3c6d471fd5c00c37cf3bf480e0f7c0d902962d069a59b2e573d3a43a6f9465b	62503	input/projects/2016440/papers/doi_10.1371_journal.pone.0209344.xml	576ccfe6e6a590363456b1ef92ec86601157ee5876d837c8175301d9288532ec	122371	frozen 209-paper JATS corpus
