project_id,project_title,principal_investigator,working_group,start_year,publication_id,doi,publication_title,publication_year,journal
164-RA,Can adding routinely collected EQ-5D-5L administrative data improve predictions about who will be a high-cost user of healthcare?,Stirling Bryan,Populations and Health Systems,2020,doi:10.1136/bmjopen-2024-089693,10.1136/bmjopen-2024-089693,"Longitudinal trajectories of healthcare costs among high-need high-cost patients: a population-based retrospective cohort study in British Columbia, Canada",2025,BMJ Open
1644-RA,Psychometric properties of the EQ-HWB in patients with breast cancer in Indonesia,"Fredrick Dermawan Purba, PhD","Descriptive Systems, EQ-HWB",2023,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,"Associations between financial toxicity, health-related quality of life, and well-being in Indonesian patients with breast cancer",2025,Quality of Life Research
1644-RA,Psychometric properties of the EQ-HWB in patients with breast cancer in Indonesia,"Fredrick Dermawan Purba, PhD","Descriptive Systems, EQ-HWB",2023,doi:10.1016/j.jval.2024.12.003,10.1016/j.jval.2024.12.003,"The Psychometric Properties of the EQ-HWB and EQ-HWB-S in Patients With Breast Cancer: A Comparative Analysis With EQ-5D-5L, FACT-8D, and SWEMWBS",2024,Value in Health
1644-RA,Psychometric properties of the EQ-HWB in patients with breast cancer in Indonesia,"Fredrick Dermawan Purba, PhD","Descriptive Systems, EQ-HWB",2023,doi:10.1186/s12955-024-02303-5,10.1186/s12955-024-02303-5,"Validity, test-retest reliability, and responsiveness of the Indonesian version of FACIT-COST measure for subjective financial toxicity",2024,Health and Quality of Life Outcomes
1654-TVG,"The impact of COVID-19 on EQ-5D-Y-3L, EQ-TIPS, EQ-5D-5L and EQ-HWB-S in Chinese children and their parent carers",Wenjing Zhou,Youth,2023,doi:10.1007/s10198-024-01710-1,10.1007/s10198-024-01710-1,Psychometric validation of the Chinese versions of EQ-5D-Y-3L and the experimental EQ-TIPS in children and adolescents with COVID-19,2025,The European Journal of Health Economics
1654-TVG,"The impact of COVID-19 on EQ-5D-Y-3L, EQ-TIPS, EQ-5D-5L and EQ-HWB-S in Chinese children and their parent carers",Wenjing Zhou,Youth,2023,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,EQ-5D-5L or EQ-HWB-S: Which is the Better Instrument for Capturing Spillover Effects in Parental Carers of Children with COVID-19?,2025,Pharmacoeconomics
1665-RA,Evaluating the validity of the EQ Health and Wellbeing short (EQ-HWB-S) in a large general population sample.,Emily McDool,EQ-HWB,2025,doi:10.1016/j.jval.2026.02.006,10.1016/j.jval.2026.02.006,Evaluating the Validity of the EQ Health and Wellbeing (EQ-HWB-9) in a Large United Kingdom General Population Sample,2026,Value in Health
1676-RA,"EQ-HWB, EQ-5D-5L, and ICECAP-A: A Comparative Study of Health and Wellbeing Measures in Ireland",Irina Kinchin,EQ-HWB,2023,doi:10.1016/j.jval.2025.04.2160,10.1016/j.jval.2025.04.2160,"A Comparative Study of Health and Well-Being Measures in Ireland Using EQ Health and Wellbeing (EQ-HWB) and its Short Version, EQ-5D-5L, and ICEpop Capability Measure for Adults (ICECAP-A)",2025,Value in Health
1679-RA,"Garbage in, garbage out? Evaluating the ability of the garbage class MIXL model to identify random response patterns",Marcel Jonker,Valuation,2023,doi:10.1177/1536867x241276110,10.1177/1536867x241276110,Fitting garbage class mixed logit models in Stata,2024,The Stata Journal Promoting communications on statistics and Stata
1681-RA,Health-Related Quality of Life in children attending specialist health services,Janine Verstraete,Youth,2023,doi:10.1186/s41687-026-01113-1,10.1186/s41687-026-01113-1,Expanding the experimental EuroQol toddler and infant populations (EQ-TIPS) descriptive system: comparing 3-level and 5-level performance for infants and toddlers with chronic conditions.,2026,PubMed
1693-RA,RAndomized Matched PAirwise Choice Tasks (RAMPACT): making the stand-alone DCE with duration protocol robust to flatliners and validate the protocol’s results with cTTO.,Marcel Jonker,Valuation,2023,doi:10.1007/s10198-025-01892-2,10.1007/s10198-025-01892-2,Revisiting health state preferences after 20 years: A new EQ-5D-3L value set for the Netherlands.,2026,PubMed
1696-RA,Measuring health-related quality of life using the EQ-5D-5L in the general population in Lebanon during the third worst socio-economic crisis in history,Fatima Al Sayah,Populations and Health Systems,2023,doi:10.1007/s11136-026-04278-w,10.1007/s11136-026-04278-w,The association of food insecurity with psychological distress and health-related quality of life in the general adult population of Lebanon,2026,Quality of Life Research
1700-RA,Cognition bolt-ons for the EQ-5D-5L and EQ-5D-3L: a systematic review,Fanni Rencz,Descriptive Systems,2023,doi:10.1016/j.jval.2025.05.015,10.1016/j.jval.2025.05.015,Development and Use of Cognition Bolt-Ons for the EQ-5D-3L and EQ-5D-5L: A Systematic Review,2025,Value in Health
1700-RA,Cognition bolt-ons for the EQ-5D-5L and EQ-5D-3L: a systematic review,Fanni Rencz,Descriptive Systems,2023,doi:10.1016/j.jval.2025.09.3053,10.1016/j.jval.2025.09.3053,Psychometric Properties of Cognition Bolt-Ons for the EQ-5D-3L and EQ-5D-5L: A Systematic Review,2025,Value in Health
1704-RA,A convergent parallel mixed methods study to assess the feasibility of using discrete choice experiments among Canadian youth,FENG XIE,"Valuation, Youth",2023,doi:10.1016/j.jval.2026.01.023,10.1016/j.jval.2026.01.023,Exploring the Feasibility of Using Discrete Choice Experiments With Duration to Elicit Health State Preferences Among Canadian Youth: A Convergent Parallel Mixed Methods Study,2026,Value in Health
1704-RA,A convergent parallel mixed methods study to assess the feasibility of using discrete choice experiments among Canadian youth,FENG XIE,"Valuation, Youth",2023,doi:10.1136/bmjopen-2024-097598,10.1136/bmjopen-2024-097598,Exploring the feasibility of using discrete choice experiment (DCE) to elicit preferences among children and adolescents: protocol for a convergent parallel mixed methods study,2025,BMJ Open
1711-RA,A Scoping Review of Stakeholder Engagement in Health State Valuation: What Is Currently Being Done and What Could Be Done Better?,Philip Powell,"Valuation, Youth",2024,doi:10.1007/s40273-025-01550-8,10.1007/s40273-025-01550-8,Improving Collaborative Engagement in Health State Valuation: A Scoping Review of Current Practices and Emerging Recommendations,2025,Pharmacoeconomics
1719-RA,Psychometric performance of an EXtended version of the EQ-5D-5L in a cohort of German health care workers with AND without late consequences of SARS-CoV-2 infection (EXPAND),Martin Härter,"Descriptive Systems, Populations and Health Systems",2024,doi:10.1007/s11136-026-04226-8,10.1007/s11136-026-04226-8,Psychometric validation of a cognition and social participation bolt-on for the EQ-5D-5L in SARS-CoV-2 infected German healthcare workers,2026,Quality of Life Research
1731-VS,Valuing Health-related quality of life of Nigerians: A Value Set for the EQ-5D-5L.,Abdulrasheed Hassan Yusuf,Valuation,2024,doi:10.1007/s11136-026-04319-4,10.1007/s11136-026-04319-4,The EQ-5D-5L valuation study in Nigeria,2026,Quality of Life Research
1741-RA,Unravelling the puzzle of low TTO values for establishing a trustworthy EQ-5D-5L value set for Singapore,Nan Luo,Valuation,2024,doi:10.1007/s40271-025-00777-z,10.1007/s40271-025-00777-z,"Who Prefers Death to Life in Composite Time Trade-off Interviews, and Why? A Mixed-Methods Study among Asians in Singapore",2025,Patient
1741-RA,Unravelling the puzzle of low TTO values for establishing a trustworthy EQ-5D-5L value set for Singapore,Nan Luo,Valuation,2024,doi:10.1007/s40273-025-01519-7,10.1007/s40273-025-01519-7,Developing an EQ-5D-5L Value Set for Singapore,2025,Pharmacoeconomics
1741-RA,Unravelling the puzzle of low TTO values for establishing a trustworthy EQ-5D-5L value set for Singapore,Nan Luo,Valuation,2024,doi:10.1016/j.jval.2025.12.009,10.1016/j.jval.2025.12.009,Is There a Shelf Life for EQ-5D Value Sets: Evidence of Evolving Societal Preferences From Asia,2025,Value in Health
1767-RA,A head on comparison of EQ-VT and crosswalk based EQ-5D-5L value sets.,Henry Bailey,Valuation,2024,doi:10.1007/s40258-025-00954-z,10.1007/s40258-025-00954-z,A Head-On Comparison of EQ-VT- and Crosswalk-Based EQ-5D-5L Value Sets,2025,Applied Health Economics and Health Policy
1769-RA,Valuing EQ-5D-5L and Cognition bolt-on attributes using DCE with Kaizen tasks (VECK): a feasbility study,Benjamin M. Craig,"Descriptive Systems, Valuation",2024,doi:10.1136/bmjopen-2024-091097,10.1136/bmjopen-2024-091097,Health valuation protocol for dual discrete choice experiment (dual-DCE) surveys to estimate the effects of different scenarios and attributes on main effects,2025,BMJ Open
1772-RA,The psychometric performance of the EQ-HWB-S in two Nationally Representative Samples - Australia and New Zealand,Cate Bailey,"Descriptive Systems, EQ-HWB",2024,doi:10.1007/s11136-025-04061-3,10.1007/s11136-025-04061-3,The psychometric performance of the EQ-HWB-9 for measuring health and wellbeing in a general population sample from Australia and New Zealand,2025,Quality of Life Research
